#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
GALAXY,0.03252297,1237654604249628852,17.6939,17.60774,16.41045,16.53859,3.834116,1.699144,4.573314,-17038.92,-1780.502,-203.4205,0.06460825,-0.1044842,10.73703,3,3
GALAXY,0.04637017,1237654880210977249,18.78568,18.46473,16.73039,16.67371,6.899183,3.064208,8.002949,-15798.34,-227.4646,-812.3162,-0.5625561,-0.08095445,53.7114,3,3
GALAXY,0.03246144,1237654880210977520,20.22448,19.78568,18.07701,18.11914,5.358059,2.548847,5.258221,-1579.282,-4.615705,-206.0496,0.5954205,-0.005195054,59.32167,3,3
GALAXY,0.04635356,1237651821641072902,16.81958,16.92278,15.05956,15.24683,7.326474,3.201322,8.77482,-44881.2,-5125.161,-858.9983,0.0881828,-0.01953684,28.27179,3,3
GALAXY,0.04634883,1237654880211042560,18.10596,18.10008,16.93716,17.00458,4.279804,1.790152,5.053054,-7834.727,-1418.277,-88.92896,-0.05842497,-0.1177829,9.131591,3,3
GALAXY,0.03245588,1237654604249694332,19.06193,18.59845,16.4979,16.43964,10.1306,4.624764,9.871805,-16990.76,-884.8899,-1932.333,-0.7332126,0.4313362,156.7316,3,3
GALAXY,0.003869827,1237654604250677395,21.94743,19.6067,21.74528,21.88345,1.331577,0.6656002,1.203735,-2.04281E-14,0,0,-0.0001684667,0.1106265,4.079003,3,6
GALAXY,0.003905787,1237654604250677396,21.73924,19.77718,21.45646,21.61613,1.286814,0.687174,1.162332,-0.01542493,-6.320877E-07,-7.463767E-05,-0.05011456,-0.06013889,4.659063,3,6
GALAXY,0.002477346,1237653652919026043,20.58275,20.21237,16.56527,16.5843,18.90149,9.031771,18.99803,-4619.267,-56.98742,-491.7736,-0.2732154,-0.06939308,545.2328,3,3
GALAXY,0.04633955,1237653653454913545,18.27177,18.05961,15.89579,15.86121,9.188611,4.289888,10.17921,-31900.01,-887.2574,-3375.112,0.05141229,-0.7711065,138.2483,3,3
GALAXY,0.03200262,1237654880740901017,18.06312,17.89674,17.05879,17.16152,2.820979,1.325544,3.644002,-7288.867,-627.2892,-107.5619,-0.1021344,-0.08849865,9.220033,3,3
GALAXY,0.0322676,1237654604785844391,17.92506,17.78205,16.01464,16.2437,6.633604,2.754977,6.496136,-25636.9,-2905.289,-881.419,-0.004675171,0.001672262,18.03153,3,3
GALAXY,0.0325004,1237653664185778290,19.3505,19.10631,16.62205,16.64023,9.290094,4.383711,9.695937,-10648.78,-16.41584,-978.8671,-0.2004409,0.0800456,123.7547,3,3
GALAXY,0.03258019,1237654880741359994,20.16278,19.88951,17.54595,17.67119,9.724612,4.335024,9.981937,-3245.263,-16.72966,-232.9987,0.8887797,0.0569743,217.0018,3,3
GALAXY,0.04634382,1237654604786303086,16.96176,16.86768,15.41267,15.50802,5.683595,2.382838,7.787677,-40912.41,-8650.535,-267.9983,-0.06019353,-0.3435921,12.82181,3,3
GALAXY,0.04600689,1237654604786303136,18.60199,18.18089,15.54323,15.56661,12.56554,5.573271,13.67439,-35234.23,-463.1595,-4238.576,0.1002028,0.8682146,304.7061,3,3
GALAXY,0.004030576,1237654604786303375,20.37134,19.7934,16.79136,16.81058,13.11106,6.136253,13.63064,-5291.784,-29.45224,-566.197,0.2766898,-0.3308732,249.0385,3,3
GALAXY,0.04625994,1237654880747586005,19.45256,19.12783,16.5193,16.51043,10.72795,5.036248,11.64655,-13463.78,-129.8962,-1030.582,0.2706244,0.2404331,153.3436,3,3
GALAXY,0.003055731,1237654881261191294,18.90237,18.71096,15.6728,15.69058,13.90518,6.364379,14.66157,-35286.99,-211.823,-3655.368,-0.4622569,-0.44181,289.8951,3,3
GALAXY,0.0461136,1237654948375494786,16.9428,16.94923,15.50912,15.65668,4.829111,2.184093,6.821835,-33811.5,-5429.129,-1050.176,0.3663959,0.12564,18.35588,3,3
GALAXY,0.002045349,1237655123939688756,22.02509,20.86615,21.4834,21.65171,1.623475,0.8827341,1.400174,-0.0006371999,-1.904921E-12,-7.431106E-09,-0.06314214,-0.02196018,8.19241,3,6
GALAXY,0.04649984,1237654029255180484,17.83342,17.87112,17.01835,17.09356,2.609626,1.24225,3.496861,-5907.726,-730.7425,-52.33921,0.05458274,0.2019524,7.763505,3,3
GALAXY,0.03224225,1237655123945783462,19.60192,19.33418,17.39493,17.36121,6.548835,3.126565,7.736699,-5343.171,-43.95008,-510.9161,0.1887973,-0.2823676,62.87469,3,3
GALAXY,0.03254611,1237655124466401424,17.84237,18.0421,16.6628,16.61585,4.721679,2.295188,5.515427,-12983.03,-172.8902,-1247.565,-0.3522339,0.3694869,41.30184,3,3
GALAXY,0.04633902,1237654605318783177,16.51447,16.68325,15.33315,15.43902,4.846836,2.158386,6.67602,-37390.62,-8664.785,-155.4008,0.08504974,0.03698312,15.91948,3,3
GALAXY,0.03184011,1237654380909625540,19.85059,19.76781,16.94541,17.37183,13.53898,5.69268,11.16467,-3634.525,-464.8608,-184.2398,-0.07362512,-0.1215065,55.54816,3,3
GALAXY,0.03240339,1237655125003993319,19.9495,19.97821,17.27326,17.33749,10.99674,5.222852,9.060651,-3444.045,-137.0471,-448.8009,0.679551,0.3291637,229.0338,3,3
GALAXY,0.04641828,1237655125014216774,18.98596,18.73958,17.84063,17.84254,2.903374,1.425674,3.142831,-4531.471,-8.103371,-397.1354,0.07881137,0.07492281,15.34493,3,3
GALAXY,0.0463824,1237654949450285288,19.3221,19.18098,17.60938,17.62358,5.909226,2.587044,6.059546,-4968.921,-40.39025,-359.2062,0.7521262,0.3288387,69.63274,3,3
GALAXY,0.04605203,1237654382515519646,18.82969,18.88753,17.74291,17.64198,4.385057,2.011353,5.588705,-5036.978,-78.51479,-145.4831,0.5529013,0.01883145,25.89852,3,3
GALAXY,0.04617222,1237654950523240616,16.96475,17.01079,14.47477,14.64792,12.31513,5.50615,13.4068,-76735.13,-7411.234,-5485.056,0.2454834,-0.5499157,135.9624,3,3
GALAXY,0.004063707,1237655125547155483,18.07218,17.97128,15.88874,16.16271,7.21794,3.22578,9.038954,-24054.3,-1174.303,-684.4869,0.3198377,0.3309861,42.22512,3,3
GALAXY,0.03168052,1237654950524420436,20.32747,20.29686,17.70058,17.77896,18.01774,4.638441,9.262771,-2094.063,-20.82018,-126.8248,0.3328611,-0.4552979,181.3471,3,3
GALAXY,0.03176554,1237654605854736619,19.14413,19.10795,16.58111,16.96767,9.964749,4.292597,10.99674,-8130.708,-447.0126,-175.6112,-0.08045056,-0.04317924,58.40705,3,3
GALAXY,0.03172292,1237655126078914727,19.19732,19.0765,16.94235,17.291,7.762326,3.363062,8.908959,-5886.285,-305.6888,-155.9447,0.6166778,0.3036909,57.77467,3,3
GALAXY,0.03257975,1237654952133591252,17.83859,17.72963,15.96267,15.94027,7.224433,3.316085,8.402092,-33663.38,-1149.182,-2414.733,0.6764027,-0.4841217,82.20682,3,3
GALAXY,0.0462383,1237655126083305582,18.25957,18.18863,16.32211,16.24256,7.020772,3.36673,8.904113,-23455.81,-407.509,-1471.032,0.270094,0.5282257,68.31015,3,3
GALAXY,0.04623098,1237655126084943934,19.35981,19.29987,17.77222,17.82178,5.034277,2.303687,4.976579,-3739.275,-12.31816,-388.4134,0.7071978,0.09979754,51.98624,3,3
GALAXY,0.0462839,1237654606402617381,16.75066,16.78144,15.57719,15.68105,4.190253,1.810678,5.180447,-32356.82,-5154.278,-288.0156,0.2011491,-0.1509465,11.74448,3,3
