#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,0.0002325354,1237648721743249512,19.10188,19.32008,19.14145,19.27824,0.9558516,0.4938663,1.002541,-15.94676,-17.93177,-17.92182,-0.01859988,-0.02612235,1.963002,6,6
STAR,0.0003333581,1237648720143712478,16.88172,17.22336,16.88268,16.93185,1.291593,0.6579463,1.454382,-0.4337008,-0.8029294,-0.8081812,-0.08232002,-0.1043476,3.317469,6,6
STAR,0.0002367244,1237648721744233136,19.17644,19.49966,19.17477,19.24102,1.015786,0.5209333,1.119201,-0.002884809,-0.01918628,-0.01937209,-0.03899576,-0.04212052,2.065779,6,6
STAR,0.0002330888,1237648722842222765,17.37131,17.68245,17.37571,17.42007,1.270166,0.6671115,1.399547,-1.128654,-1.600295,-1.599779,-0.1792547,0.000226138,3.732477,6,6
STAR,0.0002348258,1237648721744494915,18.98964,19.30491,18.9839,19.04229,1.058545,0.5441797,1.180789,-1.338961,-1.536581,-1.538031,-0.07233904,-0.1026438,2.251625,6,6
STAR,-5.014777E-05,1237648721746723286,20.36592,20.14188,20.37218,20.33844,1.336068,0.6052627,1.535573,-0.01482314,-0.03290557,-0.03393436,-0.05693631,-0.002770113,2.203899,6,6
STAR,-2.80691E-06,1237648722295062633,16.6333,16.94226,16.62843,16.67998,1.171812,0.6111223,1.277951,-16.25905,-10.51437,-10.57987,-0.2068027,-0.03545224,3.038526,6,6
STAR,0.0003303482,1237648722308563000,15.72589,16.05817,15.74116,15.79119,1.281959,0.6631656,1.412188,-38.49992,-41.73629,-41.6444,-0.1618966,-0.003842851,3.56515,6,6
STAR,-0.0001192105,1237648720712564940,14.95925,15.27642,14.94795,14.99047,1.32203,0.679291,1.469842,-258.5178,-241.9054,-242.2541,-0.00449103,-0.06771447,3.682677,6,6
STAR,0.0001524167,1237648722311250050,18.67488,19.01662,18.67098,18.69333,1.587676,0.789864,1.752872,-0.5242761,-0.5552649,-0.5525506,-0.08055764,-0.02787316,4.814698,6,6
STAR,0.0003342913,1237648722839404550,18.18529,18.49921,18.19166,18.24396,1.258219,0.6554872,1.353296,-0.02832348,-0.06144809,-0.06043677,-0.2248723,-0.02878448,3.596833,6,6
STAR,-5.010593E-05,1237648722312102149,17.55952,17.88623,17.55051,17.59009,1.55815,0.8160878,1.723878,-3.41849,-2.068603,-2.070604,-0.1373579,-0.03757354,5.499951,6,6
STAR,-2.250149E-06,1237648721759371334,16.348,16.68206,16.34125,16.39344,1.233535,0.6314569,1.394111,-14.1778,-13.055,-13.01775,-0.09997691,-0.05267124,3.027827,6,6
STAR,0.0003372636,1237648722312232977,17.55374,17.88927,17.54084,17.57954,1.57989,0.8092191,1.74607,-7.260621,-4.817939,-4.808531,-0.1058241,-0.04684945,5.293063,6,6
STAR,0.0003330419,1237648721759568000,20.30524,20.61193,20.26827,20.30481,1.221676,0.6111507,1.51299,-0.5494924,-0.4849772,-0.4325393,-0.17949,-0.1324888,2.730189,6,6
STAR,0.0003334292,1237648721205920266,18.98348,19.29157,18.96935,19.0241,1.11356,0.5701642,1.237066,-0.1882956,-0.1302137,-0.1300573,-0.03459068,-0.08416264,2.476493,6,6
STAR,0.0001556909,1237648722281234691,19.24814,19.547,19.23011,19.3018,1.142361,0.5839016,1.175482,-0.1145788,-0.09493141,-0.09506083,-0.2260887,-0.0096326,2.889172,6,6
STAR,7.890339E-05,1237648721206116399,15.44587,15.7601,15.44091,15.49222,1.061963,0.549262,1.195055,-11.15164,-14.26058,-14.39211,0.00106434,-0.0390341,2.22617,6,6
STAR,7.946701E-05,1237648721759633444,16.68179,17.00986,16.67699,16.72852,1.193922,0.6131021,1.346772,-1.783501,-0.871397,-0.9287196,-0.1148728,-0.01129914,2.863491,6,6
STAR,0.0003302718,1237648721206117073,19.6668,20.00088,19.67344,19.7557,1.072155,0.5270671,1.110594,-0.2044258,-0.3223696,-0.3241836,-0.02384862,-0.05312061,2.107484,6,6
STAR,0.0003403059,1237648722281235236,19.56714,19.91697,19.58022,19.66759,1.020959,0.5302304,1.129096,-0.1539215,-0.2855752,-0.2846217,-0.2179039,0.002628671,2.161857,6,6
STAR,0.0003282802,1237648721759895925,19.19673,19.55558,19.17913,19.22877,1.433989,0.7086477,1.624519,-0.1090751,-0.02347727,-0.02357616,0.005482825,0.03910154,3.709914,6,6
STAR,0.0002344074,1237648721207034332,17.92579,18.25185,17.9368,17.98957,1.032382,0.5353932,1.177171,-1.218243,-1.839664,-1.841459,-0.004760433,-0.07173384,2.128162,6,6
STAR,0.0002346047,1237648722291916821,15.15218,15.46762,15.13849,15.18836,1.17647,0.6066318,1.326136,-136.8969,-116.8793,-116.6155,-0.1515022,-0.03068577,2.828911,6,6
STAR,-0.0002924096,1237648720163242484,20.16242,20.52747,20.16048,20.2977,1.50233,0.7431599,1.408883,-1.659117,-2.0026,-2.006377,-0.05311471,0.0349534,4.797091,6,6
STAR,0.000153031,1237648721764941925,16.48466,16.7988,16.46705,16.5151,1.156798,0.5955563,1.317008,-11.90974,-3.146554,-3.09513,-0.1298429,-0.03747053,2.651074,6,6
STAR,3.852054E-05,1237648721768415443,18.47674,18.8021,18.46984,18.52848,1.192088,0.6096973,1.300542,-0.1354136,-0.2008757,-0.2005071,-0.1412564,-0.05045741,2.875386,6,6
STAR,-2.111355E-06,1237648721768546470,17.57133,17.88439,17.57253,17.61744,1.08459,0.5605269,1.217714,-0.01196228,-0.06341233,-0.06188595,-0.1224309,-0.01071875,2.397354,6,6
STAR,0.0001567497,1237648721769201666,17.7457,18.06146,17.74945,17.78415,1.16475,0.5974929,1.30896,-2.497295,-2.686813,-2.664121,-0.1168036,-0.02889558,2.6734,6,6
STAR,0.0001567532,1237648722816533391,19.64593,19.9507,19.64874,19.70087,1.244862,0.6316496,1.270204,-0.1630308,-0.2782118,-0.2779701,-0.2934853,-0.0239695,3.329815,6,6
STAR,0.0003372148,1237648721769988110,17.35884,17.69178,17.36793,17.42443,1.127659,0.5820677,1.266516,-0.4124481,-0.7422851,-0.7423809,-0.1188771,-0.01020039,2.573884,6,6
STAR,-4.90153E-05,1237648721771102279,17.34059,17.65834,17.33039,17.38038,1.156042,0.5974841,1.305748,-1.221299,-1.013186,-1.019953,-0.1332795,-0.03345011,2.720555,6,6
STAR,-4.939166E-05,1237648721223745571,17.72146,18.03496,17.71234,17.76465,1.165225,0.595865,1.298112,-0.862745,-0.7314606,-0.7321461,-0.07950887,-0.06323887,2.704665,6,6
STAR,7.968549E-05,1237648722816795826,21.49491,21.83558,21.46659,21.64174,1.119703,0.588577,0.9467914,-1.63393,-2.114204,-2.136676,-0.1901252,-0.01221795,3.219133,6,6
STAR,0.000235631,1237648722816860716,19.09209,19.38648,19.08805,19.15273,1.247948,0.6355118,1.268617,-0.1226,-0.2047054,-0.2048801,-0.193461,-0.04384521,3.37826,6,6
STAR,0.000235302,1237646586639418183,19.40594,19.76365,19.42524,19.49125,1.036536,0.507987,1.156,-1.577508,-2.320833,-2.325308,-0.05433004,-0.03255295,1.558901,6,6
STAR,0.0002385965,1237648721771692038,17.58815,17.92776,17.5817,17.63489,1.254139,0.6381059,1.410027,-2.329882,-1.760882,-1.789185,-0.08097512,-0.009873202,3.088676,6,6
STAR,0.0002375348,1237646586633060409,19.98355,20.22589,19.94366,19.99119,0.9916925,0.480103,1.176221,-0.3427401,-0.2412211,-0.2408916,-0.1312864,-0.1107488,1.712539,6,6
STAR,-0.0004266195,1237648721784013087,18.45967,18.79738,18.45985,18.50834,1.377718,0.7004951,1.517125,-0.07332225,-0.1211063,-0.1212646,-0.08647968,-0.04884068,3.880616,6,6
